34709615056,436983810,Paciente 1,997653884,Rua 1 Piso 1 2679-709 Lisboa,1974-11-28
59899200938,877596982,Paciente 2,911918271,Rua 2 Piso 2 6218-491 Oeiras,1944-01-19
54182868877,012501403,Paciente 3,921382676,Rua 3 Piso 3 1325-925 Cascais,1948-03-03
15651891271,772930837,Paciente 4,957756347,Rua 4 Piso 4 9229-045 Sintra,1983-12-15
12254855209,011564362,Paciente 5,986603726,Rua 5 Piso 5 9452-024 Amadora,2006-05-20
63798266836,084884183,Paciente 6,961360982,Rua 6 Piso 6 2667-310 Lisboa,1919-11-21
58411522919,598240391,Paciente 7,920865425,Rua 7 Piso 7 7716-657 Oeiras,2022-03-17
49227688988,511065240,Paciente 8,908432499,Rua 8 Piso 8 6207-254 Cascais,1997-01-28
25513553206,282701094,Paciente 9,967574871,Rua 9 Piso 9 8287-182 Sintra,1977-03-13
49103781036,937162794,Paciente 10,963845954,Rua 10 Piso 10 0957-626 Amadora,1907-07-04
62121639033,828521400,Paciente 11,932553052,Rua 11 Piso 11 0911-149 Lisboa,1956-03-23
75501363234,553485962,Paciente 12,954878722,Rua 12 Piso 12 1893-047 Oeiras,1986-05-23
29459137314,878312410,Paciente 13,956562457,Rua 13 Piso 13 3912-788 Cascais,1965-12-15
70036367729,566616497,Paciente 14,999856434,Rua 14 Piso 14 9610-440 Sintra,1929-06-08
36184009061,699442490,Paciente 15,948118273,Rua 15 Piso 15 0834-068 Amadora,1981-08-08
39300700306,151650711,Paciente 16,976621404,Rua 16 Piso 16 8971-187 Lisboa,1916-09-14
05082798536,592614732,Paciente 17,933017661,Rua 17 Piso 17 1441-988 Oeiras,1944-11-06
83907121162,779795033,Paciente 18,994279097,Rua 18 Piso 18 9606-299 Cascais,1922-12-28
29861155486,206382519,Paciente 19,967845463,Rua 19 Piso 19 8370-349 Sintra,1993-11-24
88789356964,716349772,Paciente 20,971539192,Rua 20 Piso 20 3563-741 Amadora,1932-06-20
22609554777,940770489,Paciente 21,934477415,Rua 21 Piso 21 0330-074 Lisboa,1940-08-05
88949235820,928653110,Paciente 22,930405141,Rua 22 Piso 22 2398-901 Oeiras,1986-10-04
16937644242,468187610,Paciente 23,913283197,Rua 23 Piso 23 8405-430 Cascais,1934-03-11
96913337063,181905270,Paciente 24,973411911,Rua 24 Piso 24 4825-088 Sintra,2015-07-28
14231828980,687649834,Paciente 25,973811221,Rua 25 Piso 25 7432-316 Amadora,1963-11-11
85645622661,158310556,Paciente 26,956837234,Rua 26 Piso 26 5707-805 Lisboa,1997-03-01
80967677833,656343075,Paciente 27,987470698,Rua 27 Piso 27 3228-343 Oeiras,2011-09-09
37369979087,747896911,Paciente 28,996909555,Rua 28 Piso 28 1442-919 Cascais,1989-01-17
70709156304,382254218,Paciente 29,909919273,Rua 29 Piso 29 4757-303 Sintra,2018-06-08
41062373102,476115564,Paciente 30,980394088,Rua 30 Piso 30 4183-218 Amadora,1941-10-01
